DBN,School Name,Rigorous Instruction Rating,Rigorous Instruction - Element Score,How Interesting And Challenging Is The Curriculum,How Effective Is The Teaching And Learning,How Well Does The School Assess What Students Are Learning,Rigorous Instruction - Overall Positive Responses,Rigorous Instruction - City Positive Responses,Rigorous Instruction - Borough Positive Responses,Collaborative Teachers Rating,Collaborative Teachers - Element Score,Quality Review - How well do teachers work with each other,Collaborative Teachers - Overall Positive Responses,Collaborative Teachers - City Positive Responses,Collaborative Teachers - Borough Positive Responses,Supportive Environment Rating,Supportive Environment - Element Score,Quality Review - How clearly are high expectations communicated to students and staff,Supportive Environment - Overall Positive Responses,Supportive Environment - City Positive Responses,Supportive Environment - Borough Positive Responses,Metric Rating - Least Restrictive Environment,% of Enrollment - Least Restrictive Environment,Population % of Range - Least Restrictive Environment,Metric Value - Least Restrictive Environment,Metric Score - Least Restrictive Environment,Metric Value - Percentage of Students with 90%+ Attendance,Metric Score - Percentage of Students with 90%+ Attendance,Effective School Leadership Rating,Effective School Leadership - Element Score,Effective School Leadership - Overall Positive Responses,Effective School Leadership - City Positive Responses,Effective School Leadership - Borough Positive Responses,Strong Family-Community Ties Rating,Strong Family-Community Ties - Element Score,Strong Family-Community Ties Overall - Positive Responses,Strong Family-Community Ties - City Positive Responses,Strong Family-Community Ties - Borough Positive Responses,Trust Rating,Trust - Element Score,Trust - Overall Positive Responses,Trust - City Positive Responses,Trust - Borough Positive Responses,Student Survey Response Rate,Teacher Survey Response Rate,Parent Survey Response Rate,Quality Review - Principal at Time of Review,Quality Review - Dates Of Review
02M542,Manhattan Bridges High School,Exceeding Target,4.90,Well Developed,Well Developed,Well Developed,90%,79%,79%,Exceeding Target,4.36,Well Developed,85%,80%,78%,Exceeding Target,4.12,Well Developed,82%,72%,72%,Exceeding Target,0.08,0.22,0.66,4.20,70.6%,3.11,Meeting Target,3.87,89%,84%,82%,Meeting Target,3.83,88%,87%,87%,Meeting Target,3.91,90%,87%,87%,76%,94%,63%,Mirza Sanchez Medina,22-Jan-15
02M543,New Design High School,Meeting Target,3.88,Proficient,Well Developed,Proficient,79%,79%,79%,Meeting Target,3.47,Proficient,81%,80%,78%,Meeting Target,3.66,Well Developed,75%,72%,72%,Meeting Target,0.26,0.78,0.54,3.88,46.8%,2.25,Meeting Target,3.74,81%,84%,82%,Not Meeting Target,1.85,76%,87%,87%,Meeting Target,3.85,90%,87%,87%,76%,83%,8%,SCOTT CONTI,May 2018
02M545,High School for Dual Language and Asian Studies,Meeting Target,3.61,Proficient,Proficient,Proficient,85%,79%,79%,Approaching Target,2.76,Developing,74%,80%,78%,Exceeding Target,4.26,Proficient,82%,72%,72%,Not Meeting Target,0.03,0.06,0.15,1.06,98.5%,4.86,Meeting Target,3.25,76%,84%,82%,Approaching Target,2.30,80%,87%,87%,Meeting Target,3.72,87%,87%,87%,98%,76%,68%,LI YAN,March 2017
02M546,Academy for Software Engineering,Meeting Target,3.85,Well Developed,Proficient,Proficient,80%,79%,79%,Meeting Target,3.82,Proficient,82%,80%,78%,Meeting Target,3.94,Well Developed,77%,72%,72%,Meeting Target,0.24,0.71,0.44,3.38,70.9%,3.11,Exceeding Target,4.38,83%,84%,82%,Meeting Target,3.85,88%,87%,87%,Meeting Target,3.88,90%,87%,87%,74%,100%,40%,Shawn Raeke,February 2018
02M551,Urban Assembly New York Harbor School,Approaching Target,2.27,Developing,Developing,Developing,78%,79%,79%,Meeting Target,3.21,Developing,85%,80%,78%,Meeting Target,3.34,Well Developed,68%,72%,72%,Meeting Target,0.23,0.71,0.41,3.75,69.0%,2.15,Exceeding Target,4.00,90%,84%,82%,Meeting Target,3.48,85%,87%,87%,Meeting Target,3.89,92%,87%,87%,65%,98%,44%,JEFFREY CHETIRKO,January 2017
02M580,Richard R. Green High School of Teaching,Meeting Target,3.28,Proficient,Proficient,Developing,85%,79%,79%,Meeting Target,3.19,Developing,84%,80%,78%,Exceeding Target,4.29,Proficient,78%,72%,72%,Meeting Target,0.19,0.56,0.56,3.38,77.3%,4.95,Meeting Target,3.43,84%,84%,82%,Meeting Target,3.84,90%,87%,87%,Meeting Target,3.87,91%,87%,87%,74%,81%,20%,Nigel Pugh,April 2017
02M600,The High School of Fashion Industries,Meeting Target,3.92,Well Developed,Proficient,Proficient,82%,79%,79%,Exceeding Target,4.32,Well Developed,84%,80%,78%,Meeting Target,3.78,Well Developed,73%,72%,72%,Approaching Target,0.18,0.53,0.57,2.58,68.6%,3.19,Meeting Target,3.96,89%,84%,82%,Exceeding Target,4.23,91%,87%,87%,Meeting Target,3.80,90%,87%,87%,91%,96%,26%,,May-19
02M605,Humanities Preparatory Academy,Exceeding Target,4.01,Well Developed,Proficient,Proficient,90%,N/A,79%,Exceeding Target,4.77,Well Developed,98%,N/A,78%,Exceeding Target,4.09,Proficient,88%,N/A,72%,Meeting Target,0.20,0.59,0.83,3.63,57.9%,2.90,Exceeding Target,4.30,99%,N/A,82%,Meeting Target,3.71,91%,N/A,87%,Exceeding Target,4.46,97%,N/A,87%,74%,83%,30%,Jeannie Ferrari,January 2018
02M615,Chelsea Career and Technical Education High School,Approaching Target,2.93,Proficient,Developing,Proficient,74%,79%,79%,Approaching Target,2.62,Developing,71%,80%,78%,Approaching Target,2.43,Proficient,65%,72%,72%,Meeting Target,0.22,0.66,0.55,3.13,54.1%,1.86,Approaching Target,2.51,72%,84%,82%,Meeting Target,3.15,85%,87%,87%,Meeting Target,3.02,83%,87%,87%,73%,86%,25%,Jaivelle Reed,March 2018
02M630,Art and Design High School,Approaching Target,2.96,Proficient,Proficient,Developing,76%,79%,79%,Meeting Target,3.21,Proficient,75%,80%,78%,Approaching Target,2.82,Proficient,67%,72%,72%,Approaching Target,0.21,0.62,0.42,2.83,70.5%,2.15,Meeting Target,3.36,80%,84%,82%,Meeting Target,3.35,86%,87%,87%,Approaching Target,2.41,79%,87%,87%,79%,99%,29%,MANUEL URENA,October 2016
02M655,Life Sciences Secondary School,Approaching Target,2.33,Developing,Developing,Developing,78%,79%,79%,Meeting Target,3.65,Proficient,86%,80%,78%,Approaching Target,2.31,Developing,72%,72%,72%,Not Meeting Target,0.20,0.60,0.56,1.89,37.4%,1.44,Meeting Target,3.88,89%,84%,82%,Meeting Target,3.45,89%,87%,87%,Meeting Target,3.98,91%,87%,87%,70%,91%,16%,Kimberly Swanson,12-Apr-16
03M291,West End Secondary School,Exceeding Target,4.82,Well Developed,Well Developed,Well Developed,87%,79%,79%,Meeting Target,3.81,Proficient,88%,80%,78%,Exceeding Target,4.26,Well Developed,78%,70%,72%,,0.20,0.58,0.04,.,91.5%,.,Exceeding Target,4.55,95%,83%,82%,Exceeding Target,4.57,96%,90%,87%,Exceeding Target,4.18,92%,87%,87%,98%,100%,75%,Jessica Jenkins,31-May-16
03M299,The Maxine Greene HS for Imaginative Inquiry,Not Meeting Target,1.76,Developing,Developing,Developing,59%,79%,79%,Approaching Target,2.30,Proficient,46%,80%,78%,Approaching Target,2.44,Proficient,55%,72%,72%,Not Meeting Target,0.24,0.73,0.72,1.94,42.9%,2.51,Approaching Target,2.66,50%,84%,82%,Approaching Target,2.55,81%,87%,87%,Not Meeting Target,1.95,71%,87%,87%,59%,81%,17%,STEPHEN NOONAN,January 2018
03M307,"Urban Assembly School for Media Studies, The",Exceeding Target,4.03,Well Developed,Proficient,Proficient,84%,79%,79%,Exceeding Target,4.72,Well Developed,94%,80%,78%,Meeting Target,3.35,Proficient,77%,72%,72%,Approaching Target,0.17,0.49,0.49,2.25,48.7%,2.01,Exceeding Target,4.06,93%,84%,82%,Meeting Target,3.48,87%,87%,87%,Exceeding Target,4.27,94%,87%,87%,96%,93%,63%,CORDELIA VEVE,May 2017
03M402,The Urban Assembly School for Green Careers,Exceeding Target,4.28,Well Developed,Proficient,Well Developed,81%,79%,79%,Exceeding Target,4.57,Well Developed,91%,80%,78%,Meeting Target,3.35,Well Developed,73%,72%,72%,Meeting Target,0.21,0.65,0.65,3.00,44.2%,2.28,Exceeding Target,4.20,91%,84%,82%,Meeting Target,3.16,84%,87%,87%,Meeting Target,3.51,89%,87%,87%,81%,100%,97%,MADELEINE CILIOTTA YOUNG,January 2018
03M403,The Global Learning Collaborative,Meeting Target,3.47,Proficient,Proficient,Proficient,78%,79%,79%,Exceeding Target,4.28,Well Developed,84%,80%,78%,Meeting Target,3.71,Well Developed,66%,72%,72%,Approaching Target,0.20,0.61,0.48,2.67,60.8%,3.92,Exceeding Target,4.10,94%,84%,82%,Meeting Target,3.24,83%,87%,87%,Meeting Target,3.76,91%,87%,87%,71%,83%,33%,Karla Chiluiza,May 2017
03M415,Wadleigh Secondary School for the Performing & Vis,Approaching Target,2.40,Developing,Developing,Developing,79%,79%,79%,Meeting Target,3.11,Developing,81%,80%,78%,Approaching Target,2.78,Developing,71%,70%,72%,Meeting Target,0.20,0.61,0.70,3.25,55.6%,2.94,Meeting Target,3.32,86%,83%,82%,Exceeding Target,4.34,98%,90%,87%,Meeting Target,3.67,86%,87%,87%,92%,97%,81%,Daisy Fontanez,May 2018
03M417,Frank McCourt High School,Meeting Target,3.58,Proficient,Proficient,Proficient,81%,79%,79%,Meeting Target,3.97,Well Developed,85%,80%,78%,Meeting Target,3.15,Proficient,69%,72%,72%,Meeting Target,0.19,0.56,0.48,3.38,76.9%,2.78,Meeting Target,3.44,87%,84%,82%,Meeting Target,3.31,87%,87%,87%,Meeting Target,3.25,88%,87%,87%,74%,93%,43%,Danielle Salzberg,November 2017
03M479,Beacon High School,Meeting Target,3.74,Proficient,Proficient,Proficient,88%,79%,79%,Meeting Target,3.11,Proficient,73%,80%,78%,Exceeding Target,4.32,Well Developed,81%,72%,72%,Approaching Target,0.12,0.33,0.39,2.25,94.6%,4.45,Approaching Target,2.96,73%,84%,82%,Approaching Target,2.85,82%,87%,87%,Approaching Target,2.50,80%,87%,87%,85%,36%,33%,RUTH LACEY,April 2018
03M485,Fiorello H. LaGuardia High School of Music & Art a,Exceeding Target,4.50,Well Developed,Well Developed,Well Developed,77%,79%,79%,Meeting Target,3.28,Well Developed,56%,80%,78%,Meeting Target,3.76,Well Developed,68%,72%,72%,Meeting Target,0.03,0.05,0.37,3.13,89.4%,3.77,Meeting Target,3.39,48%,84%,82%,Approaching Target,2.45,79%,87%,87%,Not Meeting Target,1.46,64%,87%,87%,91%,63%,21%,Lisa Mars,January 2017
03M492,"High School for Law, Advocacy and Community Justic",Meeting Target,3.93,Proficient,Proficient,Well Developed,82%,79%,79%,Exceeding Target,4.20,Well Developed,81%,80%,78%,Meeting Target,3.81,Well Developed,70%,72%,72%,Exceeding Target,0.20,0.59,0.76,4.47,58.0%,3.17,Meeting Target,3.44,82%,84%,82%,Meeting Target,3.09,84%,87%,87%,Meeting Target,3.49,87%,87%,87%,85%,88%,56%,Doreen Conwell,April 2018
03M494,High School of Arts and Technology,Not Meeting Target,1.55,Developing,Developing,Under Developed,61%,79%,79%,Approaching Target,2.05,Developing,59%,80%,78%,Approaching Target,2.26,Developing,56%,72%,72%,Meeting Target,0.24,0.73,0.67,3.00,48.1%,2.52,Approaching Target,2.14,70%,84%,82%,Approaching Target,2.45,83%,87%,87%,Approaching Target,2.80,82%,87%,87%,82%,81%,22%,A ANNE GEIGER,October 2016
03M541,Manhattan / Hunter Science High School,Exceeding Target,4.41,Well Developed,Well Developed,Proficient,86%,79%,79%,Meeting Target,3.52,Proficient,81%,80%,78%,Exceeding Target,4.39,Well Developed,79%,72%,72%,Meeting Target,0.15,0.42,0.36,3.00,95.0%,4.53,Meeting Target,3.81,83%,84%,82%,Approaching Target,2.53,80%,87%,87%,Meeting Target,3.63,88%,87%,87%,90%,96%,68%,,May-19
03M859,Special Music School,Exceeding Target,4.85,Well Developed,Well Developed,Well Developed,87%,79%,79%,Exceeding Target,4.62,Well Developed,88%,78%,78%,Exceeding Target,4.13,Well Developed,76%,68%,72%,Meeting Target,0.13,0.36,0.43,3.75,77.8%,2.47,Meeting Target,3.99,93%,82%,82%,Meeting Target,3.83,93%,92%,87%,Exceeding Target,4.02,91%,86%,87%,94%,70%,65%,Katherine Banucci-Smith,28-Oct-14
03M860,Frederick Douglass Academy II Secondary School,Approaching Target,2.79,Proficient,Developing,Proficient,67%,79%,79%,Approaching Target,2.70,Proficient,64%,80%,78%,Meeting Target,3.41,Well Developed,63%,70%,72%,Exceeding Target,0.25,0.75,0.87,4.27,50.5%,3.35,Approaching Target,2.76,62%,83%,82%,Meeting Target,3.66,90%,90%,87%,Meeting Target,3.19,82%,87%,87%,69%,59%,34%,OSEI OWUSU AFRIYIE,December 2016
04M372,Esperanza Preparatory Academy,Meeting Target,3.51,Proficient,Proficient,Proficient,80%,79%,79%,Meeting Target,3.46,Proficient,79%,80%,78%,Meeting Target,3.71,Proficient,71%,70%,72%,Approaching Target,0.23,0.71,0.70,2.17,58.7%,4.08,Meeting Target,3.55,86%,83%,82%,Meeting Target,3.22,88%,90%,87%,Meeting Target,3.49,86%,87%,87%,86%,88%,50%,Luisa Morales,December 2017
04M435,Manhattan Center for Science and Mathematics,Exceeding Target,4.95,Well Developed,Well Developed,Well Developed,93%,79%,79%,Exceeding Target,4.86,Well Developed,97%,80%,78%,Exceeding Target,4.37,Well Developed,88%,72%,72%,Meeting Target,0.15,0.43,0.59,3.25,83.7%,3.56,Exceeding Target,4.73,96%,84%,82%,Meeting Target,3.21,85%,87%,87%,Exceeding Target,4.00,93%,87%,87%,92%,89%,92%,JOSE JIMENEZ,November 2017
04M495,Park East High School,Exceeding Target,4.07,Well Developed,Proficient,Proficient,86%,79%,79%,Exceeding Target,4.54,Well Developed,89%,80%,78%,Exceeding Target,4.63,Well Developed,81%,72%,72%,Exceeding Target,0.17,0.51,0.61,4.00,87.2%,4.94,Meeting Target,3.97,90%,84%,82%,Meeting Target,3.92,89%,87%,87%,Meeting Target,3.92,91%,87%,87%,92%,100%,58%,KEVIN MCCARTHY,November 2016
04M555,Central Park East High School,Exceeding Target,4.82,Well Developed,Well Developed,Well Developed,89%,79%,79%,Exceeding Target,4.77,Well Developed,95%,80%,78%,Exceeding Target,4.65,Well Developed,86%,72%,72%,Approaching Target,0.16,0.46,0.63,2.58,93.3%,4.70,Exceeding Target,4.54,96%,84%,82%,Exceeding Target,4.05,90%,87%,87%,Exceeding Target,4.33,94%,87%,87%,92%,100%,32%,Bennett Lieberman,"March 18, 2015"
04M610,Young Women's Leadership School,Exceeding Target,4.46,Well Developed,Well Developed,Proficient,87%,79%,79%,Exceeding Target,4.76,Well Developed,93%,80%,78%,Exceeding Target,4.43,Well Developed,78%,70%,72%,Exceeding Target,0.21,0.63,0.41,4.03,79.6%,4.13,Exceeding Target,4.32,95%,83%,82%,Meeting Target,3.51,89%,90%,87%,Exceeding Target,4.23,94%,87%,87%,78%,100%,48%,Althea Bradshaw-Tyson,"April 29, 2015"
04M680,"Heritage School, The",Approaching Target,2.64,Developing,Developing,Proficient,76%,79%,79%,Meeting Target,3.88,Well Developed,82%,80%,78%,Exceeding Target,4.21,Well Developed,68%,72%,72%,Exceeding Target,0.22,0.68,0.71,4.00,70.3%,4.99,Meeting Target,3.92,88%,84%,82%,Approaching Target,2.81,81%,87%,87%,Meeting Target,3.39,86%,87%,87%,95%,100%,75%,Dyanand Sugrim,April 2017
05M148,Eagle Academy for Young Men of Harlem,Meeting Target,3.39,Proficient,Proficient,Proficient,74%,79%,79%,Meeting Target,3.29,Proficient,69%,80%,78%,,.,Well Developed,68%,70%,72%,Meeting Target,0.29,0.90,0.50,3.13,41.2%,1.16,Meeting Target,3.48,71%,83%,82%,Meeting Target,3.09,87%,90%,87%,Meeting Target,3.09,84%,87%,87%,16%,75%,5%,Mahaliel H. Bethea II,December 2016
05M157,The Urban Assembly School for Global Commerce,Approaching Target,2.40,Proficient,Developing,Developing,63%,79%,79%,Approaching Target,2.62,Proficient,60%,80%,78%,Meeting Target,3.01,Well Developed,65%,72%,72%,Not Meeting Target,0.26,0.80,0.52,1.78,34.1%,1.67,Meeting Target,3.28,68%,84%,82%,Meeting Target,3.97,90%,87%,87%,Meeting Target,3.04,81%,87%,87%,71%,100%,41%,Erin Gehant,February 2017
05M304,Mott Hall High School,Approaching Target,2.33,Developing,Developing,Proficient,66%,79%,79%,Approaching Target,2.86,Proficient,67%,80%,78%,Meeting Target,3.49,Proficient,66%,72%,72%,Approaching Target,0.29,0.89,0.81,2.83,61.1%,4.61,Meeting Target,3.04,70%,84%,82%,Exceeding Target,4.25,94%,87%,87%,Meeting Target,3.38,83%,87%,87%,100%,89%,95%,Altagracia Villalona,December 2016
05M362,Columbia Secondary School,Exceeding Target,4.79,Well Developed,Well Developed,Well Developed,85%,79%,79%,Exceeding Target,4.22,Well Developed,80%,80%,78%,Meeting Target,3.93,Well Developed,76%,70%,72%,Approaching Target,0.13,0.36,0.38,2.50,76.2%,1.94,Exceeding Target,4.48,86%,83%,82%,Meeting Target,3.72,90%,90%,87%,Meeting Target,3.87,90%,87%,87%,59%,54%,26%,,December-18
05M369,Urban Assembly School for the Performing Arts,Meeting Target,3.23,Developing,Proficient,Proficient,82%,79%,79%,Meeting Target,3.39,Proficient,78%,80%,78%,Meeting Target,3.18,Proficient,75%,72%,72%,Approaching Target,0.23,0.70,0.58,2.17,47.9%,2.57,Meeting Target,3.60,88%,84%,82%,Approaching Target,2.94,83%,87%,87%,Meeting Target,3.70,89%,87%,87%,58%,96%,32%,Meghan Mcmahon,February 2017
05M499,Frederick Douglass Academy,Not Meeting Target,1.94,Developing,Developing,Developing,70%,79%,79%,Approaching Target,2.06,Developing,70%,80%,78%,Approaching Target,2.44,Developing,58%,70%,72%,Exceeding Target,0.15,0.44,0.78,4.23,67.1%,3.51,Not Meeting Target,1.98,71%,83%,82%,Not Meeting Target,1.66,82%,90%,87%,Approaching Target,2.51,81%,87%,87%,64%,58%,10%,Ayisha Fullerton,February 2018
05M670,Thurgood Marshall Academy for Learning and Social,Approaching Target,2.95,Proficient,Developing,Proficient,74%,79%,79%,Meeting Target,3.97,Well Developed,76%,80%,78%,Meeting Target,3.98,Well Developed,64%,70%,72%,Not Meeting Target,0.20,0.59,0.29,1.78,74.8%,4.46,Meeting Target,3.59,86%,83%,82%,Meeting Target,3.30,87%,90%,87%,Meeting Target,3.58,89%,87%,87%,71%,76%,22%,MAJOR FAREED,November 2017
05M692,"High School for Mathematics, Science and Engineeri",Exceeding Target,4.82,Well Developed,Well Developed,Well Developed,89%,79%,79%,Exceeding Target,4.15,Well Developed,80%,80%,78%,Exceeding Target,4.24,Well Developed,85%,72%,72%,Exceeding Target,0.03,0.04,1.00,4.99,87.8%,3.14,Meeting Target,3.45,84%,84%,82%,Meeting Target,3.87,89%,87%,87%,Meeting Target,3.55,87%,87%,87%,85%,100%,31%,Crystal Bonds,"January 8, 2015"
06M211,Inwood Early College for Health and Information Te,Approaching Target,2.36,Proficient,Developing,Developing,68%,79%,79%,Approaching Target,2.38,Developing,66%,80%,78%,Approaching Target,2.67,Proficient,67%,72%,72%,Approaching Target,0.23,0.68,0.48,2.33,46.6%,1.61,Meeting Target,3.24,75%,84%,82%,Meeting Target,3.84,90%,87%,87%,Meeting Target,3.84,89%,87%,87%,86%,97%,54%,Samona Tait,May 2017
06M293,City College Academy of the Arts,Meeting Target,3.17,Proficient,Developing,Proficient,83%,79%,79%,Meeting Target,3.30,Proficient,77%,80%,78%,Meeting Target,3.68,Proficient,74%,70%,72%,Approaching Target,0.13,0.38,0.22,2.89,81.5%,3.51,Meeting Target,3.33,78%,83%,82%,Meeting Target,3.57,91%,90%,87%,Meeting Target,3.89,88%,87%,87%,86%,46%,77%,BURNEDETTE DRYSDALE,April 2017
06M346,Community Health Academy of the Heights,Meeting Target,3.77,Proficient,Proficient,Proficient,88%,79%,79%,Exceeding Target,4.71,Well Developed,92%,80%,78%,Meeting Target,3.99,Well Developed,82%,70%,72%,Not Meeting Target,0.16,0.47,0.46,1.50,48.9%,2.10,Exceeding Target,4.50,96%,83%,82%,Exceeding Target,4.15,93%,90%,87%,Exceeding Target,4.39,95%,87%,87%,80%,100%,53%,MARK HOUSE,January 2017
06M348,Washington Heights Expeditionary Learning School,Exceeding Target,4.70,Well Developed,Well Developed,Well Developed,82%,79%,79%,Exceeding Target,4.05,Well Developed,84%,78%,78%,Exceeding Target,4.43,Well Developed,79%,68%,72%,Approaching Target,0.18,0.55,0.31,2.25,69.3%,3.78,Exceeding Target,4.14,84%,82%,82%,Meeting Target,3.13,89%,92%,87%,Exceeding Target,4.17,92%,86%,87%,77%,71%,37%,Thomas Rochowicz,February 2018
06M462,The College Academy,Meeting Target,3.56,Proficient,Proficient,Proficient,80%,79%,79%,Meeting Target,3.44,Proficient,80%,80%,78%,Meeting Target,3.19,Proficient,72%,72%,72%,Meeting Target,0.17,0.50,0.90,3.38,48.2%,2.75,Meeting Target,3.52,85%,84%,82%,Meeting Target,3.56,88%,87%,87%,Meeting Target,3.23,85%,87%,87%,85%,94%,59%,Peter Sloman,"November 19, 2014"
06M463,High School for Media and Communications,Approaching Target,2.24,Developing,Developing,Developing,75%,79%,79%,Approaching Target,2.66,Developing,80%,80%,78%,Meeting Target,3.83,Proficient,70%,72%,72%,Meeting Target,0.15,0.45,0.80,3.63,77.9%,4.99,Meeting Target,3.28,81%,84%,82%,Meeting Target,3.81,90%,87%,87%,Meeting Target,3.65,88%,87%,87%,89%,100%,73%,Juan Villar,26-Feb-16
06M467,High School for Law and Public Service,Approaching Target,2.90,Developing,Developing,Proficient,83%,79%,79%,Meeting Target,3.50,Developing,92%,80%,78%,Approaching Target,2.39,Developing,72%,72%,72%,Not Meeting Target,0.24,0.73,0.71,1.00,39.3%,1.94,Meeting Target,3.67,97%,84%,82%,Exceeding Target,4.28,96%,87%,87%,Exceeding Target,4.49,95%,87%,87%,76%,91%,67%,NICHOLAS POLITIS,November 2016
06M468,High School for Health Careers and Sciences,Meeting Target,3.49,Proficient,Proficient,Proficient,78%,79%,79%,Meeting Target,3.41,Proficient,80%,80%,78%,Exceeding Target,4.02,Proficient,67%,72%,72%,Exceeding Target,0.17,0.50,0.89,4.47,71.5%,4.99,Meeting Target,3.93,86%,84%,82%,Exceeding Target,4.77,99%,87%,87%,Exceeding Target,4.01,89%,87%,87%,92%,100%,83%,Javier Trejo,May 2018
06M540,A. Philip Randolph Campus High School,Approaching Target,2.76,Proficient,Developing,Developing,80%,79%,79%,Meeting Target,3.40,Proficient,80%,80%,78%,Meeting Target,3.12,Proficient,71%,72%,72%,Exceeding Target,0.15,0.43,0.68,4.10,58.3%,2.35,Meeting Target,3.46,83%,84%,82%,Approaching Target,2.94,83%,87%,87%,Meeting Target,3.48,87%,87%,87%,45%,75%,20%,David Fanning,January 2017
06M552,Gregorio Luperon High School for Science and Mathe,Meeting Target,3.69,Proficient,Proficient,Proficient,87%,79%,79%,Meeting Target,3.92,Proficient,92%,80%,78%,Exceeding Target,4.48,Well Developed,85%,72%,72%,Exceeding Target,0.02,0.01,0.67,4.99,77.8%,4.58,Exceeding Target,4.20,96%,84%,82%,Exceeding Target,4.38,93%,87%,87%,Exceeding Target,4.41,95%,87%,87%,76%,97%,54%,Yecenia Delarosa,May 2017
07X221,South Bronx Preparatory: A College Board School,Exceeding Target,4.53,Well Developed,Proficient,Well Developed,90%,79%,79%,Exceeding Target,4.74,Well Developed,92%,80%,81%,Exceeding Target,4.81,Well Developed,86%,70%,71%,Approaching Target,0.23,0.70,0.53,2.67,79.6%,4.99,Exceeding Target,4.15,93%,83%,85%,Meeting Target,3.30,88%,90%,88%,Exceeding Target,4.15,93%,87%,88%,99%,100%,77%,Ellen Flanagan,"January 14, 2015"
07X223,The Laboratory School of Finance and Technology: X,Exceeding Target,4.59,Well Developed,Well Developed,Well Developed,78%,79%,79%,Exceeding Target,4.10,Well Developed,78%,80%,81%,Meeting Target,3.83,Well Developed,72%,70%,71%,Approaching Target,0.18,0.54,0.58,2.42,70.1%,3.38,Meeting Target,3.21,81%,83%,85%,Meeting Target,3.15,87%,90%,88%,Meeting Target,3.52,86%,87%,88%,93%,87%,69%,Ramon Gonzalez,4-Nov-15
07X259,"H.E.R.O. High (Health, Education, and Research Occ",Meeting Target,3.95,Well Developed,Proficient,Proficient,80%,79%,79%,Exceeding Target,4.23,Proficient,92%,80%,81%,Meeting Target,3.87,Well Developed,68%,72%,71%,Meeting Target,0.20,0.59,0.75,3.50,58.7%,3.87,Exceeding Target,4.39,94%,84%,85%,Meeting Target,3.69,87%,87%,88%,Exceeding Target,4.16,93%,87%,88%,58%,82%,15%,Kristin Cahill Garcia,May 2018
07X334,International Community High School,Exceeding Target,4.04,Well Developed,Proficient,Proficient,85%,79%,79%,Exceeding Target,4.25,Well Developed,81%,80%,81%,Exceeding Target,4.32,Well Developed,78%,72%,71%,Approaching Target,0.05,0.12,0.50,2.67,69.0%,4.40,Exceeding Target,4.19,86%,84%,85%,Meeting Target,3.89,89%,87%,88%,Meeting Target,3.90,90%,87%,88%,91%,100%,35%,BERENA CABARCAS,November 2017
07X427,Community School for Social Justice,Exceeding Target,4.53,Well Developed,Proficient,Well Developed,92%,79%,79%,Exceeding Target,4.93,Well Developed,99%,80%,81%,Exceeding Target,4.28,Well Developed,94%,72%,71%,Meeting Target,0.25,0.78,0.90,3.25,45.1%,3.02,Exceeding Target,4.87,99%,84%,85%,Exceeding Target,4.87,97%,87%,88%,Exceeding Target,4.83,98%,87%,88%,90%,96%,58%,Sue-Ann Rosch,"April 14, 2015"
