DBN,School Name,School Type,Student Achievement - Section Rating,Student Achievement - Section Score,Metric Rating - 4-Year Graduation Rate - Black or Hispanic Males in Lowest Third Citywide,N count - 4-Year Graduation Rate - Black or Hispanic Males in Lowest Third Citywide,Percent of Enrollment - 4-Year Graduation Rate - Black or Hispanic Males in Lowest Third Citywide,Population Percent of Range - 4-Year Graduation Rate - Black or Hispanic Males in Lowest Third Citywide,Metric Value - 4-Year Graduation Rate - Black or Hispanic Males in Lowest Third Citywide,Approaching Target For 2019 - 4-Year Graduation Rate - Black or Hispanic Males in Lowest Third Citywide,Meeting Target For 2019 - 4-Year Graduation Rate - Black or Hispanic Males in Lowest Third Citywide,Exceeding Target For 2019 - 4-Year Graduation Rate - Black or Hispanic Males in Lowest Third Citywide,Metric Score - 4-Year Graduation Rate - Black or Hispanic Males in Lowest Third Citywide,"Metric Rating - 4-Year Graduation Rate - Self-Contained, Integrated Co-Teaching, or SETSS","N count - 4-Year Graduation Rate - Self-Contained, Integrated Co-Teaching, or SETSS","Percent of Enrollment - 4-Year Graduation Rate - Self-Contained, Integrated Co-Teaching, or SETSS","Population Percent of Range - 4-Year Graduation Rate - Self-Contained, Integrated Co-Teaching, or SETSS","Metric Value - 4-Year Graduation Rate - Self-Contained, Integrated Co-Teaching, or SETSS","Approaching Target For 2019 - 4-Year Graduation Rate - Self-Contained, Integrated Co-Teaching, or SETSS","Meeting Target For 2019 - 4-Year Graduation Rate - Self-Contained, Integrated Co-Teaching, or SETSS","Exceeding Target For 2019 - 4-Year Graduation Rate - Self-Contained, Integrated Co-Teaching, or SETSS","Metric Score - 4-Year Graduation Rate - Self-Contained, Integrated Co-Teaching, or SETSS",Metric Rating - 4-Year Graduation Rate - English Language Learners,N count - 4-Year Graduation Rate - English Language Learners,Percent of Enrollment - 4-Year Graduation Rate - English Language Learners,Population Percent of Range - 4-Year Graduation Rate - English Language Learners,Metric Value - 4-Year Graduation Rate - English Language Learners,Approaching Target For 2019 - 4-Year Graduation Rate - English Language Learners,Meeting Target For 2019 - 4-Year Graduation Rate - English Language Learners,Exceeding Target For 2019 - 4-Year Graduation Rate - English Language Learners,Metric Score - 4-Year Graduation Rate - English Language Learners,Metric Rating - 4-Year Graduation Rate - Lowest Third Citywide,N count - 4-Year Graduation Rate - Lowest Third Citywide,Percent of Enrollment - 4-Year Graduation Rate - Lowest Third Citywide,Population Percent of Range - 4-Year Graduation Rate - Lowest Third Citywide,Metric Value - 4-Year Graduation Rate - Lowest Third Citywide,Approaching Target For 2019 - 4-Year Graduation Rate - Lowest Third Citywide,Meeting Target For 2019 - 4-Year Graduation Rate - Lowest Third Citywide,Exceeding Target For 2019 - 4-Year Graduation Rate - Lowest Third Citywide,Metric Score - 4-Year Graduation Rate - Lowest Third Citywide,"Metric Rating - Postsecondary Enrollment Rate - 6 Months, Lowest Third Citywide","N count - Postsecondary Enrollment Rate - 6 Months, Lowest Third Citywide","Percent of Enrollment - Postsecondary Enrollment Rate - 6 Months, Lowest Third Citywide","Population Percent of Range - Postsecondary Enrollment Rate - 6 Months, Lowest Third Citywide","Metric Value - Postsecondary Enrollment Rate - 6 Months, Lowest Third Citywide","Approaching Target For 2019 - Postsecondary Enrollment Rate - 6 Months, Lowest Third Citywide","Meeting Target For 2019 - Postsecondary Enrollment Rate - 6 Months, Lowest Third Citywide","Exceeding Target For 2019 - Postsecondary Enrollment Rate - 6 Months, Lowest Third Citywide","Metric Score - Postsecondary Enrollment Rate - 6 Months, Lowest Third Citywide","Metric Rating - College and Career Preparatory Course Index, Lowest Third Citywide","N count - College and Career Preparatory Course Index, Lowest Third Citywide","Percent of Enrollment - College and Career Preparatory Course Index, Lowest Third Citywide","Population Percent of Range - College and Career Preparatory Course Index, Lowest Third Citywide","Metric Value - College and Career Preparatory Course Index, Lowest Third Citywide","Approaching Target For 2019 - College and Career Preparatory Course Index, Lowest Third Citywide","Meeting Target For 2019 - College and Career Preparatory Course Index, Lowest Third Citywide","Exceeding Target For 2019 - College and Career Preparatory Course Index, Lowest Third Citywide","Metric Score - College and Career Preparatory Course Index, Lowest Third Citywide","Metric Rating - 4-Year College Readiness Index, Lowest Third Citywide","N count - 4-Year College Readiness Index, Lowest Third Citywide","Percent of Enrollment - 4-Year College Readiness Index, Lowest Third Citywide","Population Percent of Range - 4-Year College Readiness Index, Lowest Third Citywide","Metric Value - 4-Year College Readiness Index, Lowest Third Citywide","Approaching Target For 2019 - 4-Year College Readiness Index, Lowest Third Citywide","Meeting Target For 2019 - 4-Year College Readiness Index, Lowest Third Citywide","Exceeding Target For 2019 - 4-Year College Readiness Index, Lowest Third Citywide","Metric Score - 4-Year College Readiness Index, Lowest Third Citywide",Metric Rating - College Persistence,N count - College Persistence,Metric Value - College Persistence,Approaching Target For 2019 - College Persistence,Meeting Target For 2019 - College Persistence,Exceeding Target For 2019 - College Persistence,Metric Score - College Persistence
02M400,High School for Environmental Studies,High School,Meeting Target,3.03,Not Meeting Target,43,17.1%,38.6%,34.9%,38.3%,55.7%,69.0%,1.76,Not Meeting Target,49,19.4%,49.2%,46.9%,47.1%,61.9%,73.3%,1.99,,29,11.5%,19.3%,62.1%,50.2%,67.8%,77.6%,.,Not Meeting Target,72,28.6%,38.1%,45.8%,47.3%,62.7%,71.6%,1.92,Exceeding Target,65,21.9%,29.3%,50.8%,21.4%,32.4%,42.9%,4.46,Approaching Target,72,28.6%,38.1%,6.9%,5.0%,10.5%,17.9%,2.35,Meeting Target,72,28.6%,38.1%,18.1%,8.8%,17.8%,23.5%,3.05,Exceeding Target,298,65.9%,49.0%,57.0%,63.8%,4.18
02M407,Institute for Collaborative Education,High School,Exceeding Target,4.01,,4,6.0%,13.5%,N<5,23.6%,41.0%,54.3%,.,,8,11.9%,30.2%,N<10,70.2%,80.6%,88.5%,.,,1,1.5%,2.5%,N<10,35.0%,52.6%,62.4%,.,,8,11.9%,15.9%,87.5%,47.6%,63.0%,71.9%,.,,8,11.6%,15.5%,75.0%,42.3%,53.3%,63.8%,.,,8,11.9%,15.9%,25.0%,5.8%,20.2%,34.3%,.,,8,11.9%,15.9%,62.5%,12.9%,26.0%,34.4%,.,Approaching Target,60,68.3%,63.2%,71.2%,78.0%,2.64
02M408,Professional Performing Arts High School,High School,Meeting Target,3.93,,4,4.0%,9.0%,N<5,50.2%,67.6%,80.9%,.,Exceeding Target,16,16.0%,40.6%,93.8%,69.0%,79.8%,88.1%,4.48,,.,0.0%,0.0%,N<10,62.3%,77.7%,86.2%,.,,9,9.0%,12.0%,88.9%,62.2%,75.9%,83.8%,.,,11,8.9%,11.9%,36.4%,43.3%,54.3%,64.8%,.,,9,9.0%,12.0%,88.9%,9.0%,27.1%,44.9%,.,,9,9.0%,12.0%,11.1%,19.3%,32.8%,41.4%,.,Approaching Target,96,71.9%,64.4%,72.4%,79.2%,2.94
02M411,Baruch College Campus High School,High School,Exceeding Target,4.70,,.,0.0%,0.0%,N<5,.,.,.,.,Exceeding Target,18,16.1%,40.9%,100.0%,70.3%,80.6%,88.6%,4.99,,1,0.9%,1.5%,N<10,.,.,.,.,,.,0.0%,0.0%,N<5,.,.,.,.,,6,5.1%,6.8%,100.0%,48.6%,59.6%,70.1%,.,,.,0.0%,0.0%,N<5,.,.,.,.,,.,0.0%,0.0%,N<5,.,.,.,.,Exceeding Target,111,95.5%,67.4%,75.4%,82.2%,4.99
02M412,N.Y.C. Lab School for Collaborative Studies,High School,Exceeding Target,4.58,,2,1.7%,3.8%,N<5,53.3%,69.8%,82.4%,.,Exceeding Target,24,20.9%,53.0%,95.8%,69.5%,80.1%,88.3%,4.64,,2,1.7%,2.8%,N<10,.,.,.,.,,7,6.1%,8.1%,71.4%,60.9%,75.0%,83.2%,.,,6,4.8%,6.4%,100.0%,47.2%,58.2%,68.7%,.,,7,6.1%,8.1%,14.3%,5.0%,16.9%,28.7%,.,,7,6.1%,8.1%,14.3%,9.2%,18.6%,24.5%,.,Exceeding Target,153,85.6%,66.5%,74.5%,81.3%,4.36
02M413,School of the Future High School,High School,Exceeding Target,4.56,,5,4.6%,10.4%,100.0%,57.4%,72.4%,84.0%,.,Exceeding Target,20,18.3%,46.4%,90.0%,69.9%,80.4%,88.4%,4.14,,.,0.0%,0.0%,N<10,67.7%,80.9%,88.2%,.,,11,10.1%,13.5%,90.9%,67.3%,79.1%,85.9%,.,,5,5.0%,6.7%,100.0%,53.7%,64.7%,75.2%,.,,11,10.1%,13.5%,100.0%,16.0%,34.1%,51.9%,.,,11,10.1%,13.5%,72.7%,17.6%,31.1%,39.7%,.,Exceeding Target,100,91.8%,63.3%,71.3%,78.1%,4.99
02M414,N.Y.C. Museum School,High School,Exceeding Target,4.60,,.,0.0%,0.0%,N<5,.,.,.,.,,9,9.5%,24.1%,N<10,65.7%,77.6%,86.8%,.,,3,3.2%,5.4%,N<10,51.0%,68.6%,78.4%,.,,4,4.2%,5.6%,N<5,36.6%,52.0%,60.9%,.,,4,3.5%,4.7%,N<5,32.9%,43.9%,54.4%,.,,4,4.2%,5.6%,N<5,5.0%,14.9%,25.3%,.,,4,4.2%,5.6%,N<5,9.3%,18.9%,24.9%,.,Exceeding Target,117,88.0%,66.1%,74.1%,80.9%,4.60
02M416,Eleanor Roosevelt High School,High School,Exceeding Target,4.79,,.,0.0%,0.0%,N<5,.,.,.,.,Exceeding Target,16,12.5%,31.7%,100.0%,73.9%,83.0%,90.0%,4.99,,1,0.8%,1.3%,N<10,.,.,.,.,,.,0.0%,0.0%,N<5,.,.,.,.,,5,3.5%,4.7%,60.0%,37.7%,48.7%,59.2%,.,,.,0.0%,0.0%,N<5,.,.,.,.,,.,0.0%,0.0%,N<5,.,.,.,.,Meeting Target,146,84.9%,75.9%,83.1%,89.3%,3.29
02M418,Millennium High School,High School,Exceeding Target,4.78,,2,1.4%,3.2%,N<5,.,.,.,.,Exceeding Target,14,9.9%,25.1%,100.0%,71.6%,81.5%,89.1%,4.99,,5,3.5%,5.9%,N<10,67.7%,80.9%,88.2%,.,,4,2.8%,3.7%,N<5,61.9%,75.7%,83.6%,.,,4,2.3%,3.1%,N<5,29.5%,40.5%,51.0%,.,,4,2.8%,3.7%,N<5,7.5%,25.6%,43.4%,.,,4,2.8%,3.7%,N<5,12.4%,25.0%,33.1%,.,Exceeding Target,142,87.3%,72.2%,80.2%,87.0%,4.03
02M419,Landmark High School,High School,Meeting Target,3.19,Meeting Target,28,28.6%,64.6%,60.7%,41.0%,58.4%,71.7%,3.17,Approaching Target,24,24.5%,62.2%,58.3%,51.6%,66.4%,77.8%,2.45,,12,12.2%,20.4%,75.0%,49.0%,66.6%,76.4%,.,Approaching Target,50,51.0%,68.0%,60.0%,51.5%,66.9%,75.8%,2.55,Meeting Target,30,44.1%,59.0%,43.3%,28.4%,39.4%,49.9%,3.37,Exceeding Target,50,51.0%,68.0%,20.0%,5.0%,10.3%,17.6%,4.19,Exceeding Target,50,51.0%,68.0%,24.0%,8.6%,17.3%,22.8%,4.10,Meeting Target,75,41.0%,29.8%,37.8%,44.6%,3.47
02M420,High School for Health Professions and Human Servi,High School,Exceeding Target,4.01,,24,5.6%,12.6%,79.2%,44.5%,61.9%,75.2%,.,Meeting Target,56,13.2%,33.5%,76.8%,53.5%,68.3%,79.7%,3.75,,56,13.2%,22.1%,85.7%,58.9%,75.7%,85.0%,.,Exceeding Target,85,20.0%,26.7%,78.8%,53.9%,69.3%,78.2%,4.03,,64,16.1%,21.5%,57.8%,32.5%,43.5%,54.0%,.,Exceeding Target,85,20.0%,26.7%,40.0%,5.0%,14.3%,24.4%,4.88,Exceeding Target,85,20.0%,26.7%,41.2%,11.2%,22.6%,29.8%,4.73,Exceeding Target,374,72.2%,55.8%,63.8%,70.6%,4.13
02M422,Quest to Learn,High School,Approaching Target,2.91,Approaching Target,16,19.3%,43.6%,56.3%,50.3%,67.7%,81.0%,2.34,Approaching Target,28,33.7%,85.5%,71.4%,61.9%,75.1%,85.3%,2.72,,7,8.4%,14.1%,N<10,44.5%,62.1%,71.9%,.,Meeting Target,32,38.6%,51.5%,71.9%,56.0%,71.4%,80.3%,3.06,Approaching Target,21,26.3%,35.2%,42.9%,34.2%,45.2%,55.7%,2.79,Approaching Target,32,38.6%,51.5%,12.5%,5.1%,18.0%,30.6%,2.57,Exceeding Target,32,38.6%,51.5%,31.3%,10.1%,20.5%,27.0%,4.30,Exceeding Target,79,62.0%,45.1%,53.1%,59.9%,4.18
02M425,Leadership and Public Service High School,High School,Meeting Target,3.27,Meeting Target,28,18.7%,42.2%,57.1%,36.3%,53.7%,67.0%,3.26,Meeting Target,22,14.7%,37.3%,63.6%,43.9%,58.7%,70.1%,3.43,,14,9.3%,15.6%,64.3%,51.6%,69.2%,79.0%,.,Exceeding Target,50,33.3%,44.4%,72.0%,47.5%,62.9%,71.8%,4.01,Approaching Target,42,37.5%,50.1%,28.6%,24.6%,35.6%,46.1%,2.36,Exceeding Target,50,33.3%,44.4%,29.0%,5.0%,10.0%,16.4%,4.99,Meeting Target,50,33.3%,44.4%,22.0%,9.2%,18.7%,24.7%,3.55,Approaching Target,157,37.6%,36.8%,44.8%,51.6%,2.10
02M427,Manhattan Academy For Arts & Language,High School,Approaching Target,2.84,Approaching Target,31,41.9%,94.6%,41.9%,25.4%,42.8%,56.1%,2.95,,4,5.4%,13.7%,N<10,40.7%,55.5%,66.9%,.,Approaching Target,70,94.6%,100.0%,62.9%,57.4%,74.8%,84.4%,2.32,Approaching Target,48,64.9%,86.5%,50.0%,39.1%,54.5%,63.4%,2.71,Exceeding Target,40,60.6%,81.0%,52.5%,23.1%,34.1%,44.6%,4.46,Approaching Target,48,64.9%,86.5%,15.6%,5.9%,20.7%,35.3%,2.66,Approaching Target,48,64.9%,86.5%,16.7%,12.8%,25.8%,34.1%,2.30,Not Meeting Target,66,27.3%,33.0%,41.0%,47.8%,1.46
02M432,Murray Hill Academy,High School,Meeting Target,3.50,Not Meeting Target,15,21.4%,48.3%,26.7%,36.4%,53.8%,67.1%,1.32,Approaching Target,10,14.3%,36.3%,60.0%,46.7%,61.5%,72.9%,2.90,,5,7.1%,11.9%,N<10,44.3%,61.9%,71.7%,.,Not Meeting Target,32,45.7%,60.9%,40.6%,43.8%,59.2%,68.1%,1.82,Approaching Target,27,40.3%,53.9%,29.6%,21.5%,32.5%,43.0%,2.74,Not Meeting Target,32,45.7%,60.9%,3.1%,5.0%,10.0%,15.0%,1.62,Exceeding Target,32,45.7%,60.9%,21.9%,7.3%,14.8%,19.5%,4.23,Meeting Target,64,46.6%,32.4%,40.4%,47.2%,3.91
02M437,Hudson High School of Learning Technologies,High School,Approaching Target,2.83,Approaching Target,21,19.6%,44.2%,61.9%,46.9%,64.3%,77.6%,2.86,Exceeding Target,25,23.4%,59.4%,84.0%,56.7%,71.5%,82.9%,4.07,Exceeding Target,16,15.0%,25.1%,81.3%,53.6%,71.2%,81.0%,4.02,Approaching Target,37,34.6%,46.1%,67.6%,54.5%,69.9%,78.8%,2.85,Approaching Target,41,38.7%,51.7%,31.7%,27.0%,38.0%,48.5%,2.43,Approaching Target,37,34.6%,46.1%,10.8%,5.0%,12.5%,21.3%,2.77,Approaching Target,37,34.6%,46.1%,13.5%,10.2%,20.7%,27.3%,2.31,Approaching Target,123,41.5%,36.4%,44.4%,51.2%,2.64
02M438,International High School at Union Square,High School,Meeting Target,3.39,Exceeding Target,24,25.8%,58.2%,45.8%,20.0%,30.0%,40.8%,4.30,,3,3.2%,8.1%,N<10,51.2%,66.0%,77.4%,.,Approaching Target,91,97.8%,100.0%,68.1%,52.5%,70.1%,79.9%,2.89,Exceeding Target,49,52.7%,70.3%,57.1%,22.8%,38.2%,47.1%,4.55,Approaching Target,38,55.1%,73.7%,28.9%,20.9%,31.9%,42.4%,2.73,Meeting Target,49,52.7%,70.3%,16.3%,5.0%,12.2%,20.7%,3.48,Exceeding Target,49,52.7%,70.3%,22.4%,6.1%,12.2%,16.1%,4.74,Exceeding Target,83,56.3%,31.2%,39.2%,46.0%,4.87
02M439,Manhattan Village Academy,High School,Exceeding Target,4.90,,4,3.8%,8.6%,N<5,53.1%,69.7%,82.4%,.,Exceeding Target,17,16.0%,40.6%,94.1%,67.2%,78.6%,87.4%,4.53,,6,5.7%,9.5%,N<10,65.6%,79.6%,87.4%,.,,8,7.5%,10.0%,87.5%,61.0%,75.1%,83.2%,.,,8,6.4%,8.6%,87.5%,43.0%,54.0%,64.5%,.,,8,7.5%,10.0%,50.0%,6.0%,21.1%,36.0%,.,,8,7.5%,10.0%,50.0%,14.6%,28.1%,36.7%,.,Exceeding Target,89,85.4%,60.9%,68.9%,75.7%,4.82
02M449,Vanguard High School,High School,Approaching Target,2.65,Approaching Target,16,16.3%,36.8%,56.3%,51.4%,68.6%,81.7%,2.28,Approaching Target,27,27.6%,70.1%,70.4%,58.7%,73.1%,84.1%,2.81,,6,6.1%,10.2%,N<10,54.6%,72.2%,82.0%,.,Approaching Target,41,41.8%,55.7%,63.4%,58.7%,73.6%,82.2%,2.32,Meeting Target,46,37.4%,50.0%,56.5%,36.4%,47.4%,57.9%,3.87,Approaching Target,41,41.8%,55.7%,12.2%,5.0%,15.4%,26.1%,2.69,Exceeding Target,41,41.8%,55.7%,41.5%,11.8%,23.9%,31.5%,4.61,Approaching Target,106,46.4%,42.3%,50.3%,57.1%,2.51
02M459,Manhattan International High School,High School,Meeting Target,3.30,Approaching Target,22,23.7%,53.5%,31.8%,23.9%,41.3%,54.6%,2.45,,3,3.2%,8.1%,N<10,.,.,.,.,Approaching Target,82,88.2%,100.0%,59.8%,54.2%,71.8%,81.6%,2.32,Not Meeting Target,46,49.5%,66.0%,39.1%,39.2%,54.6%,63.5%,1.99,Exceeding Target,34,45.9%,61.4%,50.0%,27.4%,38.4%,48.9%,4.06,Approaching Target,46,49.5%,66.0%,13.0%,6.0%,20.9%,35.5%,2.47,Meeting Target,46,49.5%,66.0%,26.1%,12.9%,26.1%,34.5%,3.00,Exceeding Target,72,51.4%,35.3%,43.3%,50.1%,4.11
02M475,Stuyvesant High School,High School,Exceeding Target,4.83,,.,0.0%,0.0%,N<5,.,.,.,.,,2,0.2%,0.5%,N<10,75.4%,83.9%,90.5%,.,,.,0.0%,0.0%,N<10,72.2%,83.6%,89.9%,.,,.,0.0%,0.0%,N<5,.,.,.,.,,1,0.1%,0.1%,N<5,.,.,.,.,,.,0.0%,0.0%,N<5,.,.,.,.,,.,0.0%,0.0%,N<5,.,.,.,.,Exceeding Target,834,94.6%,82.3%,87.6%,92.1%,4.32
02M489,High School of Economics and Finance,High School,Meeting Target,3.53,Approaching Target,23,14.1%,31.8%,60.9%,44.8%,62.2%,75.5%,2.93,Meeting Target,34,20.9%,53.0%,76.5%,57.5%,72.3%,83.6%,3.37,,19,11.7%,19.6%,73.7%,55.8%,73.4%,83.2%,.,Meeting Target,35,21.5%,28.7%,71.4%,50.7%,66.1%,75.0%,3.60,Meeting Target,40,23.5%,31.4%,52.5%,32.2%,43.2%,53.7%,3.89,Not Meeting Target,35,21.5%,28.7%,4.3%,5.0%,13.3%,22.5%,1.86,Exceeding Target,35,21.5%,28.7%,28.6%,9.3%,18.8%,24.8%,4.29,Exceeding Target,167,74.3%,52.0%,60.0%,66.8%,4.63
02M500,Unity Center for Urban Technologies,High School,Meeting Target,3.89,Exceeding Target,25,40.3%,91.0%,84.0%,43.6%,61.0%,74.3%,4.52,Meeting Target,21,33.9%,86.0%,76.2%,50.3%,65.1%,76.5%,3.97,,9,14.5%,24.3%,N<10,50.0%,67.6%,77.4%,.,Exceeding Target,32,51.6%,68.8%,87.5%,50.7%,66.1%,75.0%,4.68,Exceeding Target,32,47.8%,63.9%,53.1%,29.8%,40.8%,51.3%,4.11,Exceeding Target,32,51.6%,68.8%,20.3%,5.0%,10.8%,18.4%,4.14,Exceeding Target,32,51.6%,68.8%,34.4%,8.8%,17.7%,23.4%,4.90,Meeting Target,73,45.2%,35.4%,43.4%,50.2%,3.26
02M507,Urban Assembly Gateway School for Technology,High School,Exceeding Target,4.25,Exceeding Target,20,18.0%,40.6%,80.0%,49.1%,66.5%,79.8%,4.01,Meeting Target,22,19.8%,50.3%,81.8%,61.4%,74.8%,85.1%,3.68,,7,6.3%,10.6%,N<10,56.8%,74.4%,84.2%,.,Exceeding Target,27,24.3%,32.4%,81.5%,56.4%,71.8%,80.7%,4.04,Exceeding Target,25,24.8%,33.2%,68.0%,37.5%,48.5%,59.0%,4.53,Exceeding Target,27,24.3%,32.4%,48.1%,5.9%,20.5%,34.9%,4.52,Exceeding Target,27,24.3%,32.4%,40.7%,12.4%,25.0%,33.1%,4.44,Approaching Target,111,55.0%,48.5%,56.5%,63.3%,2.81
02M519,Talent Unlimited High School,High School,Exceeding Target,4.16,,1,1.0%,2.3%,N<5,50.6%,68.0%,81.3%,.,Exceeding Target,13,13.1%,33.2%,92.3%,65.5%,77.5%,86.7%,4.42,,.,0.0%,0.0%,N<10,66.5%,80.2%,87.8%,.,,8,8.1%,10.8%,75.0%,58.9%,73.8%,82.3%,.,,5,4.3%,5.7%,80.0%,47.2%,58.2%,68.7%,.,,8,8.1%,10.8%,37.5%,6.5%,22.6%,38.5%,.,,8,8.1%,10.8%,50.0%,10.9%,22.1%,29.1%,.,Meeting Target,126,76.2%,65.6%,73.6%,80.4%,3.38
02M520,Murry Bergtraum High School for Business Careers,High School,Approaching Target,2.42,Approaching Target,13,20.6%,46.5%,38.5%,26.6%,44.0%,57.3%,2.68,Approaching Target,16,25.4%,64.5%,43.8%,33.8%,48.6%,60.0%,2.68,Approaching Target,10,15.9%,26.6%,50.0%,34.9%,52.5%,62.3%,2.86,Approaching Target,32,50.8%,67.7%,50.0%,37.7%,53.1%,62.0%,2.80,Approaching Target,28,34.6%,46.3%,32.1%,23.1%,34.1%,44.6%,2.82,Exceeding Target,32,50.8%,67.7%,21.9%,5.0%,10.0%,15.0%,4.99,Approaching Target,32,50.8%,67.7%,6.3%,5.6%,11.2%,14.8%,2.13,Approaching Target,149,34.9%,31.4%,39.4%,46.2%,2.44
02M529,Jacqueline Kennedy Onassis High School,High School,Approaching Target,2.56,Not Meeting Target,25,16.7%,37.7%,24.0%,35.3%,52.7%,66.0%,1.20,Not Meeting Target,27,18.0%,45.7%,33.3%,44.1%,58.9%,70.3%,1.38,Not Meeting Target,28,18.7%,31.3%,28.6%,48.0%,65.6%,75.4%,1.00,Not Meeting Target,66,44.0%,58.7%,34.8%,44.6%,60.0%,68.9%,1.45,Approaching Target,62,44.9%,60.0%,25.8%,20.3%,31.2%,41.6%,2.50,Approaching Target,66,44.0%,58.7%,9.8%,5.0%,10.0%,15.0%,2.96,Approaching Target,66,44.0%,58.7%,9.1%,7.2%,14.6%,19.3%,2.26,Approaching Target,154,42.2%,34.6%,42.6%,49.4%,2.95
02M531,Repertory Company High School for Theatre Arts,High School,Exceeding Target,4.42,,2,3.4%,7.7%,N<5,46.3%,63.7%,77.0%,.,Exceeding Target,10,16.9%,42.9%,100.0%,61.3%,74.8%,85.1%,4.99,,1,1.7%,2.8%,N<10,66.2%,80.0%,87.6%,.,,5,8.5%,11.3%,100.0%,56.9%,72.3%,81.2%,.,Exceeding Target,18,27.7%,37.0%,83.3%,40.1%,51.1%,61.6%,4.99,,5,8.5%,11.3%,80.0%,5.0%,16.3%,27.7%,.,,5,8.5%,11.3%,20.0%,7.4%,15.0%,19.8%,.,Exceeding Target,53,79.2%,57.5%,65.5%,72.3%,4.58
02M533,Union Square Academy for Health Sciences,High School,Meeting Target,3.07,,10,10.6%,23.9%,70.0%,49.6%,67.0%,80.3%,.,Meeting Target,16,17.0%,43.1%,81.3%,59.2%,73.4%,84.3%,3.72,Approaching Target,14,14.9%,25.0%,64.3%,58.3%,75.3%,84.8%,2.35,Meeting Target,32,34.0%,45.3%,75.0%,58.3%,73.4%,82.1%,3.18,Meeting Target,29,32.2%,43.0%,55.2%,41.6%,52.6%,63.1%,3.25,Exceeding Target,32,34.0%,45.3%,21.9%,5.0%,12.6%,21.4%,4.03,Meeting Target,32,34.0%,45.3%,25.0%,10.9%,22.1%,29.1%,3.41,Exceeding Target,91,68.1%,48.5%,56.5%,63.3%,4.40
02M534,Harvest Collegiate High School,High School,Meeting Target,3.50,Approaching Target,14,13.2%,29.8%,57.1%,50.4%,67.8%,81.1%,2.39,Meeting Target,33,31.1%,78.9%,75.8%,59.2%,73.4%,84.3%,3.22,,7,6.6%,11.1%,N<10,56.9%,74.5%,84.3%,.,Approaching Target,27,25.5%,34.0%,59.3%,54.7%,70.1%,79.0%,2.30,,22,18.6%,24.9%,54.5%,37.8%,48.8%,59.3%,.,Approaching Target,27,25.5%,34.0%,7.4%,5.0%,17.5%,29.7%,2.19,Meeting Target,27,25.5%,34.0%,22.2%,9.2%,18.6%,24.5%,3.61,Exceeding Target,97,63.3%,44.7%,52.7%,59.5%,4.32
02M542,Manhattan Bridges High School,High School,Exceeding Target,4.51,Exceeding Target,18,17.0%,38.4%,94.4%,44.8%,62.2%,75.5%,4.99,,9,8.5%,21.6%,N<10,59.2%,73.4%,84.3%,.,Exceeding Target,75,70.8%,100.0%,94.7%,61.7%,77.4%,86.0%,4.62,Exceeding Target,38,35.8%,47.7%,89.5%,52.1%,67.5%,76.4%,4.72,Exceeding Target,37,30.3%,40.5%,75.7%,42.4%,53.4%,63.9%,4.69,Exceeding Target,38,35.8%,47.7%,78.9%,6.5%,22.8%,38.7%,4.99,Exceeding Target,38,35.8%,47.7%,68.4%,14.4%,27.9%,36.5%,4.99,Exceeding Target,123,58.5%,34.0%,42.0%,48.8%,4.82
02M543,New Design High School,High School,Meeting Target,3.28,Approaching Target,19,22.1%,49.9%,52.6%,43.2%,60.6%,73.9%,2.54,Approaching Target,22,25.6%,65.0%,54.5%,50.1%,64.9%,76.3%,2.30,,4,4.7%,7.9%,N<10,50.7%,68.3%,78.1%,.,Approaching Target,38,44.2%,58.9%,55.3%,51.6%,67.0%,75.9%,2.24,Exceeding Target,36,38.7%,51.7%,58.3%,31.6%,42.6%,53.1%,4.30,Approaching Target,38,44.2%,58.9%,7.9%,5.0%,12.2%,20.7%,2.40,Approaching Target,38,44.2%,58.9%,10.5%,8.6%,17.4%,23.0%,2.22,Exceeding Target,72,56.9%,36.1%,44.1%,50.9%,4.50
02M545,High School for Dual Language and Asian Studies,High School,Exceeding Target,4.83,,.,0.0%,0.0%,N<5,.,.,.,.,,4,4.5%,11.4%,N<10,71.2%,81.2%,88.9%,.,Exceeding Target,23,26.1%,43.7%,100.0%,75.4%,85.4%,91.0%,4.99,,1,1.1%,1.5%,N<5,70.9%,81.4%,87.5%,.,,.,0.0%,0.0%,N<5,.,.,.,.,,1,1.1%,1.5%,N<5,29.9%,48.0%,65.8%,.,,1,1.1%,1.5%,N<5,41.9%,55.4%,64.0%,.,Exceeding Target,97,85.6%,67.3%,75.3%,82.1%,4.29
02M546,Academy for Software Engineering,High School,Meeting Target,3.82,Exceeding Target,17,16.0%,36.1%,82.4%,47.9%,65.3%,78.6%,4.21,Meeting Target,22,20.8%,52.8%,81.8%,60.4%,74.2%,84.8%,3.72,,8,7.5%,12.6%,N<10,53.3%,70.9%,80.7%,.,Exceeding Target,23,21.7%,28.9%,82.6%,55.5%,70.9%,79.8%,4.15,Meeting Target,33,29.2%,39.0%,57.6%,37.3%,48.3%,58.8%,3.89,Not Meeting Target,23,21.7%,28.9%,2.2%,5.3%,18.4%,31.3%,1.42,Meeting Target,23,21.7%,28.9%,26.1%,10.1%,20.5%,27.0%,3.86,Exceeding Target,107,61.4%,44.7%,52.7%,59.5%,4.16
